model,state_semantics,cycle_symbol,current_aep_exact,current_aep_displayed,snapshot_avgEntryPrice,snapshot_avgCostPrice,snapshot_display_difference,status
PUBLISHED_FILL_WEIGHTED_BASIS,PUBLISHED_MODEL,XBTUSD,71982.618490822464968098336702587628720357600841946133345892107878589169521669517386375861191593009783898288650769001163067364823586717576221993137280942905343504535017594693555225292123462257237167290,71982.6185,71982.3211,71982.3211,0.2974,PASS
RUNNING_BASIS_QUANTIZED_EACH_EXECUTION,DIAGNOSTIC_REPLAY_GRANULARITY_MODEL,XBTUSD,71982.618490822464968098336702587628720357600841946133345892107878589169521669517386375861191593009783898288650769001163067364823586717576221993137280942905343504535017594693555225292123462257237167290,71982.6185,71982.3211,71982.3211,0.2974,DIAGNOSTIC_ONLY
RUNNING_BASIS_QUANTIZED_EACH_ORDER,DIAGNOSTIC_REPLAY_GRANULARITY_MODEL,XBTUSD,71982.618490822464968098336702587628720357600841946133345892107878589169521669517386375861191593009783898288650769001163067364823586717576221993137280942905343504535017594693555225292123462257237167290,71982.6185,71982.3211,71982.3211,0.2974,DIAGNOSTIC_ONLY
RECOMPUTE_FROM_OPEN_FILL_LOTS,DIAGNOSTIC_REPLAY_GRANULARITY_MODEL,XBTUSD,71982.618490822464968098336702587628720357600841946133345892107878589169521669517386375861191593009783898288650769001163067364823586717576221993137280942905343504535017594693555225292123462257237167290,71982.6185,71982.3211,71982.3211,0.2974,DIAGNOSTIC_ONLY
COST_IMPLIED_BASIS,DIAGNOSTIC_ONLY_NOT_A_STATE_DRIVER,XBTUSD,1389.224296593186372745490982,71982.6185,71982.3211,71982.3211,0.2974,DIAGNOSTIC_ONLY
