symbol,ordType,side,execution_count_bucket,order_episode_count,filled_qty_sum,partial_or_multi_fill_count,ambiguous_order_count
TRXU21,Limit,Buy,6_PLUS_FILLS,19,6561800,19,1
TRXU21,Limit,Buy,SINGLE_FILL,3,1400000,0,0
TRXU21,Limit,Sell,2_TO_5_FILLS,4,951300,4,0
TRXU21,Limit,Sell,6_PLUS_FILLS,11,6110500,11,0
TRXU21,Limit,Sell,SINGLE_FILL,4,800000,0,0
TRXUSDT,Limit,Buy,2_TO_5_FILLS,4,4999,4,0
TRXUSDT,Limit,Buy,SINGLE_FILL,3,3333,0,0
TRXZ20,Limit,Buy,2_TO_5_FILLS,18,4200687,18,0
TRXZ20,Limit,Buy,6_PLUS_FILLS,14,5072481,14,0
TRXZ20,Limit,Buy,SINGLE_FILL,16,3400000,0,0
TRXZ20,Limit,Sell,2_TO_5_FILLS,4,2070107,4,0
TRXZ20,Limit,Sell,6_PLUS_FILLS,8,7080667,8,0
TRXZ20,Limit,Sell,SINGLE_FILL,3,1100000,0,0
TRXZ20,Market,Buy,SINGLE_FILL,1,50000,0,0
TRXZ20,Market,Sell,2_TO_5_FILLS,3,1072394,3,0
TRXZ20,Market,Sell,6_PLUS_FILLS,1,1000000,1,0
TRXZ20,Market,Sell,SINGLE_FILL,1,400000,0,0
TRXZ21,Limit,Buy,2_TO_5_FILLS,1,50000000000000,1,0
TRXZ21,Limit,Buy,6_PLUS_FILLS,4,200000000000000,4,0
TRXZ21,Limit,Buy,SINGLE_FILL,2,100000000000000,0,0
TRXZ21,Limit,Sell,2_TO_5_FILLS,13,300000000000000,13,0
TRXZ21,Limit,Sell,6_PLUS_FILLS,2,40000000000000,2,0
TRXZ21,Limit,Sell,SINGLE_FILL,1,10000000000000,0,0
UNIUSDT,Limit,Buy,2_TO_5_FILLS,15,8765,15,0
UNIUSDT,Limit,Buy,6_PLUS_FILLS,28,38508,28,0
UNIUSDT,Limit,Buy,SINGLE_FILL,7,2868,0,0
UNIUSDT,Limit,Sell,2_TO_5_FILLS,6,10444,6,0
UNIUSDT,Limit,Sell,6_PLUS_FILLS,15,35253,15,0
UNIUSDT,Limit,Sell,SINGLE_FILL,3,4444,0,0
XBTM21,Market,Buy,6_PLUS_FILLS,1,333333,1,0
XBTM21,Market,Sell,6_PLUS_FILLS,1,333333,1,0
XBTUSD,Limit,Buy,2_TO_5_FILLS,2535,141911734,2535,44
XBTUSD,Limit,Buy,6_PLUS_FILLS,1365,165824584,1365,134
XBTUSD,Limit,Buy,SINGLE_FILL,3371,130563292,0,0
XBTUSD,Limit,Sell,2_TO_5_FILLS,2698,140619787,2698,62
XBTUSD,Limit,Sell,6_PLUS_FILLS,1485,166410268,1485,157
XBTUSD,Limit,Sell,SINGLE_FILL,2514,98022922,0,0
XBTUSD,Market,Buy,2_TO_5_FILLS,1123,71001756,1123,0
XBTUSD,Market,Buy,6_PLUS_FILLS,1312,148405280,1312,0
XBTUSD,Market,Buy,SINGLE_FILL,528,25717944,0,0
XBTUSD,Market,Sell,2_TO_5_FILLS,1242,76021096,1242,0
XBTUSD,Market,Sell,6_PLUS_FILLS,1546,168071909,1546,0
XBTUSD,Market,Sell,SINGLE_FILL,505,24450742,0,0
XBTUSD,Stop,Buy,2_TO_5_FILLS,4,520000,4,0
XBTUSD,Stop,Buy,6_PLUS_FILLS,14,3380000,14,0
XBTUSD,Stop,Buy,SINGLE_FILL,4,400000,0,0
XBTUSD,Stop,Sell,2_TO_5_FILLS,19,2090000,19,0
XBTUSD,Stop,Sell,6_PLUS_FILLS,39,6220000,39,0
XBTUSD,Stop,Sell,SINGLE_FILL,1,200000,0,0
XBTUSD,StopLimit,Buy,SINGLE_FILL,4,2175858,0,0
XBTUSD,StopLimit,Sell,SINGLE_FILL,7,8791724,0,0
XLMUSDT,Limit,Buy,2_TO_5_FILLS,2,2222,2,0
XLMUSDT,Limit,Buy,6_PLUS_FILLS,1,1111,1,0
XLMUSDT,Limit,Sell,2_TO_5_FILLS,1,1111,1,0
XLMUSDT,Limit,Sell,6_PLUS_FILLS,2,2222,2,1
XRPUSD,Limit,Buy,2_TO_5_FILLS,210,914330,210,0
XRPUSD,Limit,Buy,6_PLUS_FILLS,71,647614,71,4
XRPUSD,Limit,Buy,SINGLE_FILL,181,641585,0,0
XRPUSD,Limit,Sell,2_TO_5_FILLS,187,885608,187,0
XRPUSD,Limit,Sell,6_PLUS_FILLS,79,587195,79,2
XRPUSD,Limit,Sell,SINGLE_FILL,107,557521,0,0
XRPUSD,Market,Buy,2_TO_5_FILLS,66,376153,66,0
XRPUSD,Market,Buy,6_PLUS_FILLS,57,768135,57,0
XRPUSD,Market,Buy,SINGLE_FILL,18,98773,0,0
XRPUSD,Market,Sell,2_TO_5_FILLS,83,482156,83,0
XRPUSD,Market,Sell,6_PLUS_FILLS,91,792568,91,0
XRPUSD,Market,Sell,SINGLE_FILL,47,133320,0,0
XRPUSD,StopLimit,Buy,SINGLE_FILL,4,78000,0,0
XRPUSD,StopLimit,Sell,SINGLE_FILL,5,86222,0,0
XTZUSDTZ20,Limit,Buy,SINGLE_FILL,8,14000,0,0
XTZUSDTZ20,Market,Sell,SINGLE_FILL,1,14000,0,0
YFIUSDTH21,Limit,Buy,2_TO_5_FILLS,26,1834,26,0
YFIUSDTH21,Limit,Buy,6_PLUS_FILLS,5,1327,5,0
YFIUSDTH21,Limit,Buy,SINGLE_FILL,23,2284,0,0
YFIUSDTH21,Limit,Sell,2_TO_5_FILLS,8,1342,8,0
YFIUSDTH21,Limit,Sell,6_PLUS_FILLS,6,832,6,0
YFIUSDTH21,Limit,Sell,SINGLE_FILL,5,726,0,0
YFIUSDTH21,Market,Buy,SINGLE_FILL,1,111,0,0
YFIUSDTH21,Market,Sell,2_TO_5_FILLS,4,2656,4,0
YFIUSDTZ20,Limit,Buy,2_TO_5_FILLS,59,12776,59,0
YFIUSDTZ20,Limit,Buy,6_PLUS_FILLS,8,866,8,0
YFIUSDTZ20,Limit,Buy,SINGLE_FILL,62,11086,0,0
YFIUSDTZ20,Limit,Sell,2_TO_5_FILLS,17,3612,17,0
YFIUSDTZ20,Limit,Sell,6_PLUS_FILLS,8,1954,8,0
YFIUSDTZ20,Limit,Sell,SINGLE_FILL,15,2672,0,0
YFIUSDTZ20,Market,Buy,2_TO_5_FILLS,1,201,1,0
YFIUSDTZ20,Market,Buy,SINGLE_FILL,8,900,0,0
YFIUSDTZ20,Market,Sell,2_TO_5_FILLS,1,111,1,0
YFIUSDTZ20,Market,Sell,6_PLUS_FILLS,1,820,1,0
YFIUSDTZ20,Market,Sell,SINGLE_FILL,5,1782,0,0
YFIUSDTZ20,StopLimit,Sell,SINGLE_FILL,3,14523,0,0
