cycle_id,symbol,is_btc_first_scope,direction,open_time,close_time,duration_seconds,initial_qty,maximum_abs_qty,terminal_qty,opening_exec_count,add_count,reduce_count,flip_origin,close_type,opening_execID,closing_execID,cycle_event_count,funding_event_count,gross_pnl_analytical,reported_pnl_total,reported_pnl_count,fee,funding,wallet_net_candidate,wallet_net_status,pnl_currency,reported_pnl_available,ordering_confidence,action_confidence,accounting_confidence,price_confidence,wallet_confidence,overall_confidence,confidence_status,accounting_position_cycle_ids,strategy_fidelity
XBTUSD-C0532,XBTUSD,True,LONG,2023-02-14T07:42:49.230000Z,2023-02-14T08:46:54.533000Z,3845.303,16000,32000,0,1,2,1,NONE,FULL_CLOSE,e620af7f-6d70-fc2a-19f9-63a9b0ccda41,c7036738-b7ca-a871-3964-b93d7d1ffea0,5,0,-421600,0,0,180363,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0532,BEHAVIORAL_APPROXIMATION
XBTUSD-C0533,XBTUSD,True,LONG,2023-02-15T08:34:10.379000Z,2023-02-15T11:43:57.240000Z,11386.861,1000,16000,0,1,5,6,NONE,FULL_CLOSE,1c856f35-175f-70cb-bf25-148fce1ff661,c2bd5bf8-f061-9724-1e6f-087e4608ec45,13,0,1115140,0,0,82555,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0533,BEHAVIORAL_APPROXIMATION
ETHUSD-C0215,ETHUSD,False,LONG,2023-02-15T14:34:36.330000Z,2023-02-16T07:03:33.690000Z,59337.36,1,1332,0,1,5,14,NONE,FULL_CLOSE,02d90a81-7980-e58f-6a77-b71d69703b71,fd905a3d-b99a-76e5-a217-01a01fd9d9b1,21,2,14570514.99999999999999999999,0,0,266825,69215,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ETHUSD-C0215,BEHAVIORAL_APPROXIMATION
ETHH23-C0002,ETHH23,False,LONG,2023-02-16T03:47:05.464000Z,2023-02-22T18:19:09.259000Z,570723.795,83000,2200000,0,1,17,11,NONE,FULL_CLOSE,e3b4eba8-1ca5-4ebb-6e72-4712b903c8d8,e625a018-abc5-c68e-d891-1afdcad933c0,30,0,-2518470.000000000000000000000,0,0,193311,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ETHH23-C0002,BEHAVIORAL_APPROXIMATION
DOGEUSD-C0029,DOGEUSD,False,LONG,2023-02-16T18:26:20.820000Z,2023-02-22T16:50:05.321000Z,512624.501,420,25831,0,1,16,33,NONE,FULL_CLOSE,3f32ad08-b819-012d-4d67-4e0a205d6133,e5e71252-b14c-5fd7-019d-42f4606b8fc8,51,18,-3737964.000000000000000000000,0,0,285488,1566587,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,DOGEUSD-C0029,BEHAVIORAL_APPROXIMATION
XBTUSD-C0534,XBTUSD,True,LONG,2023-02-16T22:40:03.164000Z,2023-02-18T07:56:31.540000Z,119788.376,18000,126000,0,1,5,7,NONE,FULL_CLOSE,224d5da6-2567-acbb-bf6e-641704f2e241,eef76ca1-7798-8476-4873-333760e0c696,14,4,17828100.00000000000000000000,0,0,495534,303789,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0534,BEHAVIORAL_APPROXIMATION
XBTUSD-C0535,XBTUSD,True,LONG,2023-02-18T18:12:11.194000Z,2023-02-18T19:44:14.618000Z,5523.424,12200,36000,0,1,3,9,NONE,FULL_CLOSE,21ee926c-31aa-11df-b7d6-374bee516447,e71f5c2e-e73a-5331-f39a-32051dee555d,14,0,-965603.000,0,0,218579,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0535,BEHAVIORAL_APPROXIMATION
XBTUSD-C0536,XBTUSD,True,LONG,2023-02-19T14:40:24.600000Z,2023-02-19T16:34:57.215000Z,6872.615,5500,28000,0,1,7,3,NONE,FULL_CLOSE,71d597a5-afc3-9509-4f3b-861b6f585eaf,c757e939-77fa-95fd-4be7-c7f23a0eaa12,12,0,704380,0,0,168988,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0536,BEHAVIORAL_APPROXIMATION
XBTUSD-C0537,XBTUSD,True,LONG,2023-02-19T17:58:09.212000Z,2023-02-20T22:16:32.191000Z,101902.979,600,13000,0,1,7,1,NONE,FULL_CLOSE,a821b7ee-be85-625f-9ec8-dbc51b0aa18c,dc92f614-5c22-c145-160d-fc375024b5dd,10,4,1146094.000000000000000000000,0,0,58144,16996,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0537,BEHAVIORAL_APPROXIMATION
XBTUSD-C0538,XBTUSD,True,LONG,2023-02-21T02:34:28.504000Z,2023-02-22T02:32:22.606000Z,86274.102,2100,150000,0,1,26,28,NONE,FULL_CLOSE,0f0d4da1-eb54-b5fe-06cf-3aa3326d7822,d4f953a1-8b0a-4914-0e92-f2bc457bb3aa,56,3,-18823344.00000000000000000002,0,0,748940,146423,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0538,BEHAVIORAL_APPROXIMATION
