model,fee_multiplier,slippage_ticks,max_abs_exposure,symbols_simulated,total_return_sum,turnover_sum,fees_sum,funding_sum,slippage_sum,executed_events,interpretation
cross_asset_logistic,0.5,0.0,0.1,53,0.9601363609596889,85.06463999999998,0.021874182601649264,0.5228664085150917,0.0,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,0.0,0.25,53,1.5502868211900636,174.39082000000002,0.04484421071706584,0.8489633331617252,0.0,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,0.0,0.5,53,2.1610763309581342,262.06109,0.06738842526632974,1.0436028314174368,0.0,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,1.0,0.1,53,0.9282840795890777,85.06463999999998,0.021874182601649264,0.522679391686852,0.03135769209509143,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,1.0,0.25,53,1.4264320608860657,174.39082000000002,0.04484421071706584,0.8484557160205868,0.12081687618562172,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,1.0,0.5,53,1.9268469091457028,262.06109,0.06738842526632974,1.042830238485183,0.22712988043333326,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,5.0,0.1,53,0.8008749541066834,85.06463999999998,0.021874182601649264,0.5219313243738961,0.15678846047545716,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,5.0,0.25,53,0.9310130196700213,174.39082000000002,0.04484421071706584,0.8464252474560348,0.6040843809281087,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,0.5,5.0,0.5,53,0.9899292218960635,262.06109,0.06738842526632974,1.039739866756172,1.1356494021666665,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,0.0,0.1,53,0.9380549836950788,85.06463999999998,0.04374836520329853,0.5224812253123017,0.0,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,0.0,0.25,53,1.5045298137954615,174.39082000000002,0.08968842143413168,0.8478758327816457,0.0,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,0.0,0.5,53,2.0920050511480026,262.06109,0.13477685053265948,1.0419123330355036,0.0,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,1.0,0.1,53,0.9062027023244803,85.06463999999998,0.04374836520329853,0.5222942084840627,0.03135769209509143,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,1.0,0.25,53,1.3806750534914358,174.39082000000002,0.08968842143413168,0.8473682156405082,0.12081687618562172,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,1.0,0.5,53,1.8577756293355754,262.06109,0.13477685053265948,1.0411397401032483,0.22712988043333326,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,5.0,0.1,53,0.7787935768420712,85.06463999999998,0.04374836520329853,0.5215461411711058,0.15678846047545716,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,5.0,0.25,53,0.8852560122753356,174.39082000000002,0.08968842143413168,0.845337747075956,0.6040843809281087,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,1.0,5.0,0.5,53,0.9208579420860055,262.06109,0.13477685053265948,1.0380493683742396,1.1356494021666665,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,0.0,0.1,53,0.8938922291658328,85.06463999999998,0.08749673040659706,0.5217108589067208,0.0,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,0.0,0.25,53,1.413015799006218,174.39082000000002,0.17937684286826336,0.8457008320214866,0.0,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,0.0,0.5,53,1.9538624915278096,262.06109,0.26955370106531895,1.0385313362716362,0.0,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,1.0,0.1,53,0.8620399477952817,85.06463999999998,0.08749673040659706,0.5215238420784832,0.03135769209509143,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,1.0,0.25,53,1.2891610387021073,174.39082000000002,0.17937684286826336,0.8451932148803476,0.12081687618562172,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,1.0,0.5,53,1.7196330697154214,262.06109,0.26955370106531895,1.0377587433393833,0.22712988043333326,4758,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,5.0,0.1,53,0.7346308223128236,85.06463999999998,0.08749673040659706,0.5207757747655252,0.15678846047545716,2850,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,5.0,0.25,53,0.7937419974860908,174.39082000000002,0.17937684286826336,0.843162746315798,0.6040843809281087,4036,normalized exposure-return proxy; not wallet or account PnL
cross_asset_logistic,2.0,5.0,0.5,53,0.7827153824657616,262.06109,0.26955370106531895,1.034668371610369,1.1356494021666665,4758,normalized exposure-return proxy; not wallet or account PnL
