event_time,source_row_number,execID,symbol,spec_id,side,signed_contract_qty,price,lastPx,avgPx,observed_price,observed_last_px,observed_avg_px,execCost,configured_multiplier_raw,configured_tick_size,cost_implied_price,canonical_execution_price,canonical_execCost_raw,canonical_exec_cost_exact,price_delta,abs_price_delta,delta_in_ticks,cost_implied_price_on_tick_grid,observed_last_px_on_tick_grid,lastPx_expected_execCost_raw,difference_raw,difference_raw_per_signed_qty,price_resolution_method,price_precision_status,reconciliation_status,reconciliation_reason,homeNotional,foreignNotional,candidate_foreign_over_home,orderID,trdMatchID,cumQty,lastQty
2021-02-02T07:30:27.711000Z,43181,a5f9a90d-2f38-0fb7-41ad-db8cbef9165d,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,25,23.625,23.625,23.625,23.625,23.625,23.625,5906250,10000,0.0005,23.625,23.625,5906250.000,True,0.000,0.000,0,True,True,5906250.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,85.41168431841476,-2017.8510420225487,-23.62499999999999994146000000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,74,25
2021-02-02T07:30:27.877000Z,43182,aaf44932-62fa-51d4-d24d-96c165024a3e,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.625,23.625,23.625,23.625,23.625,23.625,4016250,10000,0.0005,23.625,23.625,4016250.000,True,0.000,0.000,0,True,True,4016250.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,58.07994533652204,-1372.138708575333,-23.62499999999999664255882353,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,91,17
2021-02-02T07:30:27.895000Z,43183,4a64fec6-9a93-b9bd-ab57-2151fa4f8f41,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,20,23.625,23.625,23.625,23.625,23.625,23.625,4725000,10000,0.0005,23.625,23.625,4725000.000,True,0.000,0.000,0,True,True,4725000.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,68.3293474547318,-1614.280833618039,-23.62500000000000329287500000,64d56a80-0f7b-4943-bcd5-b01ae48eb77a,,111,20
2021-02-02T07:30:27.928000Z,43184,56e8c464-c452-1023-10b5-689abb0b6fe8,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.613,23.613,23.6125,23.613,23.613,23.6125,4014125,10000,0.0005,23.6125,23.6125,4014125.0000,True,-0.0005,0.0005,-1,True,True,4014210.000,-85.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,58.07994533652204,-1371.4127092586266,-23.61249999999999880337352941,1da86d5e-91b9-42e6-a685-48eeefad3e15,,17,17
2021-02-02T07:30:27.959000Z,43185,50608f2a-f738-4459-a471-e6f4e56ab004,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,19,23.613,23.613,23.6125,23.613,23.613,23.6125,4486375,10000,0.0005,23.6125,23.6125,4486375.0000,True,-0.0005,0.0005,-1,True,True,4486470.000,-95.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,64.91288008199521,-1532.755380936112,-23.61250000000000160022171053,1da86d5e-91b9-42e6-a685-48eeefad3e15,,36,19
2021-02-02T07:30:29.813000Z,43186,87f7e42e-c25b-118f-9cfc-6c58f3b10055,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.613,23.613,23.6125,23.613,23.613,23.6125,4250250,10000,0.0005,23.6125,23.6125,4250250.0000,True,-0.0005,0.0005,-1,True,True,4250340.000,-90.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.49641270925863,-1452.0840450973694,-23.61249999999999998577152778,1da86d5e-91b9-42e6-a685-48eeefad3e15,,54,18
2021-02-02T07:30:29.928000Z,43187,22d33766-bc62-7e4f-bd7c-57b42ec48614,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.613,23.613,23.6125,23.613,23.613,23.6125,4014125,10000,0.0005,23.6125,23.6125,4014125.0000,True,-0.0005,0.0005,-1,True,True,4014210.000,-85.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,58.07994533652204,-1371.4127092586266,-23.61249999999999880337352941,1da86d5e-91b9-42e6-a685-48eeefad3e15,,71,17
2021-02-02T07:30:30.483000Z,43188,9e6a5088-e5ad-5618-d812-2ba843235d37,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.613,23.613,23.6125,23.613,23.613,23.6125,4250250,10000,0.0005,23.6125,23.6125,4250250.0000,True,-0.0005,0.0005,-1,True,True,4250340.000,-90.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.51742993848257,-1452.5803144224196,-23.61249999999999863250138889,1da86d5e-91b9-42e6-a685-48eeefad3e15,,89,18
2021-02-02T07:30:30.489000Z,43189,d78aa310-2431-aaf3-6259-1c9a1fc8ef7e,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,22,23.613,23.613,23.6125,23.613,23.613,23.6125,5194750,10000,0.0005,23.6125,23.6125,5194750.0000,True,-0.0005,0.0005,-1,True,True,5194860.000,-110.000,-5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,75.18796992481202,-1775.375939849624,-23.61250000000000236407500000,1da86d5e-91b9-42e6-a685-48eeefad3e15,,111,22
2021-02-02T07:30:30.592000Z,43190,24ec0f4f-a1c5-bce6-2b09-b48fb8d5fcb2,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.6,23.6,23.6,23.6,23.6,23.6,4248000,10000,0.0005,23.6,23.6,4248000.0,True,0.0,0.0,0,True,True,4248000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,61.51742993848257,-1451.8113465481886,-23.59999999999999915471111111,c412800f-b2e5-4b90-ac86-929356b7fc56,,18,18
