symbol,derivative_execution_count,matched_count,missing_spec_count,overlapping_spec_count,compatibility_pass_count,compatibility_conflict_count,settlement_currency_conflict_count,payout_model_conflict_count,spec_version_count_used,spec_ids_used,evidence_confidences,first_event_time,last_event_time
ETHU24,157,157,0,0,157,0,0,0,1,ETHU24-SNAPSHOT-8fd7ea95c5bf,OFFICIAL_EXPLICIT,2024-06-20T07:23:01.167000Z,2024-09-27T12:00:15.299000Z
ETHUSD,19470,19470,0,0,19470,0,0,0,1,ETHUSD-SNAPSHOT-ecbd6d823317,OFFICIAL_EXPLICIT,2020-06-01T22:24:28.491000Z,2024-02-26T19:44:55.050000Z
ETHUSDZ20,8,8,0,0,8,0,0,0,1,ETHUSDZ20-SNAPSHOT-5c7acb2de7d6,OFFICIAL_EXPLICIT,2020-10-12T13:39:21.644000Z,2020-10-12T16:32:24.038000Z
ETHZ20,1168,1168,0,0,1168,0,0,0,1,ETHZ20-SNAPSHOT-a3dbfc606e07,OFFICIAL_EXPLICIT,2020-10-28T11:17:12.414000Z,2020-12-25T11:59:59.999000Z
ETHZ21,870,870,0,0,870,0,0,0,1,ETHZ21-SNAPSHOT-914c6371f631,OFFICIAL_EXPLICIT,2021-10-05T21:55:06.009000Z,2021-12-31T11:59:59.999000Z
ETHZ22,182,182,0,0,182,0,0,0,1,ETHZ22-SNAPSHOT-2f6e5ad94724,OFFICIAL_EXPLICIT,2022-10-22T22:00:42.461000Z,2022-12-21T16:19:51.536000Z
ETHZ23,271,271,0,0,271,0,0,0,1,ETHZ23-SNAPSHOT-be69a4b3e872,OFFICIAL_EXPLICIT,2023-09-29T20:51:15.892000Z,2023-12-29T12:00:00Z
ETHZ24,80,80,0,0,80,0,0,0,1,ETHZ24-SNAPSHOT-a624e9ec2f8d,OFFICIAL_EXPLICIT,2024-10-14T15:26:28.211000Z,2024-12-27T12:00:10.289000Z
LINKUSDT,253,253,0,0,253,0,0,0,1,LINKUSDT-QUANTO-XBT-2020,OFFICIAL_EXPLICIT,2021-02-02T07:30:06.999000Z,2021-09-22T09:14:08.137000Z
LINKUSDTZ20,16,16,0,0,16,0,0,0,1,LINKUSDTZ20-SNAPSHOT-41ddc6ab9c4b,OFFICIAL_EXPLICIT,2020-09-13T00:07:48.984000Z,2020-09-24T15:38:46.277000Z
LTCH21,1414,1414,0,0,1414,0,0,0,1,LTCH21-SNAPSHOT-423c9d962d83,OFFICIAL_EXPLICIT,2020-12-25T18:30:08.190000Z,2021-03-21T04:28:55.762000Z
LTCM20,387,387,0,0,387,0,0,0,1,LTCM20-SNAPSHOT-4513cfd78c7d,OFFICIAL_EXPLICIT,2020-05-01T23:45:58.220000Z,2020-06-08T22:11:45.084000Z
LTCM21,172,172,0,0,172,0,0,0,1,LTCM21-SNAPSHOT-6f922a2884b6,OFFICIAL_EXPLICIT,2021-03-29T02:41:02.762000Z,2021-04-24T05:09:28.694000Z
LTCU20,316,316,0,0,316,0,0,0,1,LTCU20-SNAPSHOT-f887e4b4f135,OFFICIAL_EXPLICIT,2020-06-26T12:29:11.610000Z,2020-09-04T06:45:08.462000Z
LTCU21,418,418,0,0,418,0,0,0,1,LTCU21-SNAPSHOT-467dc1a462b5,OFFICIAL_EXPLICIT,2021-08-10T06:48:12.576000Z,2021-09-24T11:59:59.999000Z
LTCUSD,7473,7473,0,0,7473,0,0,0,1,LTCUSD-SNAPSHOT-ece3807d1fda,OFFICIAL_EXPLICIT,2020-08-01T10:10:23.992000Z,2023-12-06T16:47:47.204000Z
LTCZ20,816,816,0,0,816,0,0,0,1,LTCZ20-SNAPSHOT-6c0bdf235daa,OFFICIAL_EXPLICIT,2020-10-01T14:22:13.848000Z,2020-12-25T11:59:59.999000Z
LTCZ21,122,122,0,0,122,0,0,0,1,LTCZ21-SNAPSHOT-88d0256cbe91,OFFICIAL_EXPLICIT,2021-12-06T22:19:25.621000Z,2021-12-13T19:20:17.272000Z
LUNAUSD,428,428,0,0,428,0,0,0,1,LUNAUSD-QUANTO-XBT-2021,OFFICIAL_EXPLICIT,2021-10-20T09:55:35.965000Z,2022-01-22T07:59:21.398000Z
ORDIUSD,407,407,0,0,407,0,0,0,1,ORDIUSD-QUANTO-XBT-2023,OFFICIAL_EXPLICIT,2023-06-09T01:29:30.612000Z,2023-10-19T12:00:00Z
TRXH21,2218,2218,0,0,2218,0,0,0,1,TRXH21-SNAPSHOT-c794544209a1,OFFICIAL_EXPLICIT,2020-12-27T16:00:37.274000Z,2021-03-20T23:20:45.170000Z
TRXM20,137,137,0,0,137,0,0,0,1,TRXM20-SNAPSHOT-8c363616877a,OFFICIAL_EXPLICIT,2020-05-22T21:43:52.981000Z,2020-06-14T11:15:54.307000Z
TRXM21,1468,1468,0,0,1468,0,0,0,1,TRXM21-SNAPSHOT-67b9db1c45f3,OFFICIAL_EXPLICIT,2021-03-19T17:56:44.382000Z,2021-05-20T20:56:46.565000Z
TRXU20,771,771,0,0,771,0,0,0,1,TRXU20-SNAPSHOT-83452f5e7c14,OFFICIAL_EXPLICIT,2020-06-30T10:17:05.892000Z,2020-09-23T18:49:35.589000Z
TRXU21,1759,1759,0,0,1759,0,0,0,1,TRXU21-SNAPSHOT-69ba84614693,OFFICIAL_EXPLICIT,2021-06-29T04:16:50.250000Z,2021-09-24T11:59:59.999000Z
TRXUSDT,27,27,0,0,27,0,0,0,1,TRXUSDT-QUANTO-XBT-2021,OFFICIAL_EXPLICIT,2021-10-29T17:27:32.668000Z,2021-11-02T11:59:59.999000Z
TRXZ20,498,498,0,0,498,0,0,0,1,TRXZ20-SNAPSHOT-58aa1bb09790,OFFICIAL_EXPLICIT,2020-10-02T04:39:11.650000Z,2020-12-16T10:03:47.449000Z
TRXZ21,124,124,0,0,124,0,0,0,1,TRXZ21-SNAPSHOT-e0892550c129,OFFICIAL_EXPLICIT,2021-11-15T06:44:35.666000Z,2021-12-03T20:39:26.899000Z
UNIUSDT,889,889,0,0,889,0,0,0,1,UNIUSDT-QUANTO-XBT-2021,OFFICIAL_PARTIAL_EXECUTION_VALIDATED,2021-04-06T01:12:53.327000Z,2021-07-13T13:44:24.437000Z
XBTM21,19,19,0,0,19,0,0,0,1,XBTM21-SNAPSHOT-c8c93f909864,OFFICIAL_EXPLICIT,2021-06-05T14:47:48.300000Z,2021-06-05T14:48:22.779000Z
XBTUSD,104880,104880,0,0,104880,0,0,0,1,XBTUSD-SNAPSHOT-19d9fb1b3d79,OFFICIAL_EXPLICIT,2020-05-01T09:03:47.360000Z,2026-07-19T12:00:00.330000Z
XLMUSDT,54,54,0,0,54,0,0,0,1,XLMUSDT-QUANTO-XBT-2021,OFFICIAL_PARTIAL_EXECUTION_VALIDATED,2021-04-11T00:32:18.902000Z,2021-04-11T10:00:31.036000Z
XRPUSD,6128,6128,0,0,6128,0,0,0,1,XRPUSD-SNAPSHOT-9c085144ba92,OFFICIAL_EXPLICIT,2020-07-25T20:39:42.895000Z,2023-06-15T06:59:21.591000Z
XTZUSDTZ20,9,9,0,0,9,0,0,0,1,XTZUSDTZ20-SNAPSHOT-592d1f3c9a5b,OFFICIAL_EXPLICIT,2020-10-10T07:58:05.289000Z,2020-10-13T13:57:53.783000Z
YFIUSDTH21,359,359,0,0,359,0,0,0,1,YFIUSDTH21-SNAPSHOT-1d201b313288,OFFICIAL_EXPLICIT,2020-12-31T07:06:20.957000Z,2021-03-08T22:24:32.751000Z
YFIUSDTZ20,508,508,0,0,508,0,0,0,1,YFIUSDTZ20-SNAPSHOT-4dc7c46f1a13,OFFICIAL_EXPLICIT,2020-10-30T20:01:47.433000Z,2020-12-25T11:59:59.999000Z
