symbol,instrument_typ,trade_count,buy_raw_qty,sell_raw_qty,net_base_qty_raw,currency,first_event_time,last_event_time,note
BMEX_USDT,IFXXXP,201,40566000000,47912000000,-7346000000,USDT,2022-11-12T04:36:03.138000Z,2023-08-31T18:03:55.552000Z,Raw spot trade quantity only; no asset-unit or wallet-balance standardization in M0-02A.1.
XBT_USDT,IFXXXP,7,14380000,0,14380000,USDT,2023-10-23T20:26:14.840000Z,2023-10-23T20:26:36.426000Z,Raw spot trade quantity only; no asset-unit or wallet-balance standardization in M0-02A.1.
