previous_action,next_action,count
REDUCE_LONG,HOLD_SHORT,8
REDUCE_LONG,NO_TRADE,20
REDUCE_LONG,OPEN_LONG,102
REDUCE_LONG,OPEN_SHORT,34
REDUCE_LONG,REDUCE_LONG,5761
REDUCE_LONG,REDUCE_SHORT,91
REDUCE_SHORT,ADD_LONG,261
REDUCE_SHORT,ADD_SHORT,525
REDUCE_SHORT,CLOSE_LONG,27
REDUCE_SHORT,CLOSE_SHORT,90
REDUCE_SHORT,FLIP_SHORT_TO_LONG,56
REDUCE_SHORT,HOLD_LONG,3
REDUCE_SHORT,HOLD_SHORT,58
REDUCE_SHORT,NO_TRADE,3
REDUCE_SHORT,OPEN_LONG,45
REDUCE_SHORT,OPEN_SHORT,10
REDUCE_SHORT,REDUCE_LONG,97
REDUCE_SHORT,REDUCE_SHORT,3307
START,OPEN_LONG,1
