symbol,terms_resolution_status,resolved_lot_size,lastQty_multiple_status,execution_count,first_event_time,last_event_time
LTCM21,SNAPSHOT_FALLBACK,1,PASS,172,2021-03-29T02:41:02.762000Z,2021-04-24T05:09:28.694000Z
LTCU20,SNAPSHOT_FALLBACK,1,PASS,316,2020-06-26T12:29:11.610000Z,2020-09-04T06:45:08.462000Z
LTCU21,SNAPSHOT_FALLBACK,1,PASS,418,2021-08-10T06:48:12.576000Z,2021-09-24T11:59:59.999000Z
LTCUSD,SNAPSHOT_FALLBACK,1,PASS,7473,2020-08-01T10:10:23.992000Z,2023-12-06T16:47:47.204000Z
LTCZ20,SNAPSHOT_FALLBACK,1,PASS,816,2020-10-01T14:22:13.848000Z,2020-12-25T11:59:59.999000Z
LTCZ21,SNAPSHOT_FALLBACK,10000000,PASS,122,2021-12-06T22:19:25.621000Z,2021-12-13T19:20:17.272000Z
LUNAUSD,SNAPSHOT_FALLBACK,1,PASS,428,2021-10-20T09:55:35.965000Z,2022-01-22T07:59:21.398000Z
ORDIUSD,SNAPSHOT_FALLBACK,1,PASS,407,2023-06-09T01:29:30.612000Z,2023-10-19T12:00:00Z
TRXH21,SNAPSHOT_FALLBACK,1,PASS,2218,2020-12-27T16:00:37.274000Z,2021-03-20T23:20:45.170000Z
TRXM20,SNAPSHOT_FALLBACK,1,PASS,137,2020-05-22T21:43:52.981000Z,2020-06-14T11:15:54.307000Z
TRXM21,SNAPSHOT_FALLBACK,1,PASS,1468,2021-03-19T17:56:44.382000Z,2021-05-20T20:56:46.565000Z
TRXU20,SNAPSHOT_FALLBACK,1,PASS,771,2020-06-30T10:17:05.892000Z,2020-09-23T18:49:35.589000Z
TRXU21,SNAPSHOT_FALLBACK,100,PASS,1759,2021-06-29T04:16:50.250000Z,2021-09-24T11:59:59.999000Z
TRXUSDT,SNAPSHOT_FALLBACK,100,ODD_LOT,26,2021-10-29T17:27:32.668000Z,2021-11-02T11:59:59.999000Z
TRXUSDT,SNAPSHOT_FALLBACK,100,PASS,1,2021-10-31T12:03:09.723000Z,2021-10-31T12:03:09.723000Z
TRXZ20,SNAPSHOT_FALLBACK,1,PASS,498,2020-10-02T04:39:11.650000Z,2020-12-16T10:03:47.449000Z
TRXZ21,SNAPSHOT_FALLBACK,10000000000,PASS,124,2021-11-15T06:44:35.666000Z,2021-12-03T20:39:26.899000Z
UNIUSDT,SNAPSHOT_FALLBACK,10,ODD_LOT,789,2021-04-06T01:12:53.327000Z,2021-07-13T13:44:24.437000Z
UNIUSDT,SNAPSHOT_FALLBACK,10,PASS,100,2021-04-06T01:12:58.315000Z,2021-07-13T11:41:40.780000Z
XBTM21,MATCHED,1,PASS,19,2021-06-05T14:47:48.300000Z,2021-06-05T14:48:22.779000Z
XBTUSD,MATCHED,1,PASS,43910,2020-05-01T09:03:47.360000Z,2021-06-08T04:00:00Z
XBTUSD,MATCHED,100,ODD_LOT,1,2021-06-08T04:30:01.347000Z,2021-06-08T04:30:01.347000Z
XBTUSD,MATCHED,100,PASS,60969,2021-06-08T12:00:00Z,2026-07-19T12:00:00.330000Z
XLMUSDT,SNAPSHOT_FALLBACK,100,ODD_LOT,51,2021-04-11T00:32:18.902000Z,2021-04-11T10:00:31.036000Z
XLMUSDT,SNAPSHOT_FALLBACK,100,PASS,3,2021-04-11T00:32:18.902000Z,2021-04-11T09:59:19.606000Z
XRPUSD,SNAPSHOT_FALLBACK,1,PASS,6128,2020-07-25T20:39:42.895000Z,2023-06-15T06:59:21.591000Z
XTZUSDTZ20,SNAPSHOT_FALLBACK,1,PASS,9,2020-10-10T07:58:05.289000Z,2020-10-13T13:57:53.783000Z
YFIUSDTH21,SNAPSHOT_FALLBACK,1,PASS,359,2020-12-31T07:06:20.957000Z,2021-03-08T22:24:32.751000Z
YFIUSDTZ20,SNAPSHOT_FALLBACK,1,PASS,508,2020-10-30T20:01:47.433000Z,2020-12-25T11:59:59.999000Z
