window,state_key,source_venue,canonical_asset,rows,prediction_rows,action_count,mean_confidence,net_return,profit_factor,executed_adjustments,fees,funding,slippage,action_macro_f1,target_exposure_mae,predicted_no_trade_rate,status
NATIVE_BITMEX,BITMEX:BTC-PERP,BITMEX,BTC-PERP,25194,25194,24478,0.9673981314133372,-0.02384025219611008,0.9716263817698791,1,1.0553047800944598e-05,0.0,7.448607166091101e-08,0.004711374604402056,0.1434839517865813,0.028419464951972694,STABLE_SAMPLE
NATIVE_BITMEX,BITMEX:DOGEUSD,BITMEX,DOGEUSD,10291,10291,0,0.30455803565128503,0.0,,0,0.0,0.0,0.0,0.14181541064524475,0.033525478982463365,1.0,STABLE_SAMPLE
NATIVE_BITMEX,BITMEX:ETHU23,BITMEX,ETHU23,628,628,0,0.32741805025475595,0.0,,0,0.0,0.0,0.0,0.3257328990228013,0.8945739954817181,1.0,STABLE_SAMPLE
NATIVE_BITMEX,BITMEX:ETHUSD,BITMEX,ETHUSD,4241,4241,0,0.26024792122379425,0.0,,0,0.0,0.0,0.0,0.19766221374045803,0.01900676837315029,1.0,STABLE_SAMPLE
NATIVE_BITMEX,BITMEX:LTCUSD,BITMEX,LTCUSD,2270,2270,0,0.3123842578109037,0.0,,0,0.0,0.0,0.0,0.16507301163738788,0.01796477008120193,1.0,STABLE_SAMPLE
NATIVE_HYPERLIQUID,HYPERLIQUID:BTC-PERP,HYPERLIQUID,BTC-PERP,1160,1160,0,0.021636383553156453,0.0,,0,0.0,0.0,0.0,0.3297022512708787,0.5022775527432176,1.0,STABLE_SAMPLE
