window,v2_action_macro_f1,v3_action_macro_f1,macro_f1_delta,macro_f1_pass,v2_target_exposure_mae,v3_target_exposure_mae,mae_delta,mae_pass,strict_mae_not_higher
WF1,0.1061466703611342,0.10723551950139434,0.0010888491402601397,True,0.033448633599383534,0.03456522750946228,0.0011165939100787475,True,False
WF2,0.1580100470265013,0.1706084685537217,0.012598421527220405,True,0.028988146996388308,0.02938578242953084,0.0003976354331425326,True,False
WF3,0.31578249336870023,0.34581320450885666,0.03003071114015643,True,0.033710432616184886,0.03443951854269301,0.0007290859265081245,True,False
