symbol,settlement_currency,lastLiquidityInd,trade_count,positive_execComm_count,negative_execComm_count,zero_execComm_count,missing_execComm_count,positive_commission_count,negative_commission_count,zero_commission_count,fee_formula_exact_count,fee_formula_difference_count,fee_formula_difference_raw_sum
ETHU22,XBT,AddedLiquidity,23,0,23,0,0,0,23,0,2,21,8.8600
ETHU22,XBT,RemovedLiquidity,24,24,0,0,0,24,0,0,0,24,-11.22000
ETHU23,XBT,AddedLiquidity,137,137,0,0,0,137,0,0,3,134,-70.3000
ETHU23,XBT,RemovedLiquidity,42,42,0,0,0,42,0,0,3,39,-17.92500
ETHU24,XBT,AddedLiquidity,150,150,0,0,0,150,0,0,5,145,-91.3280
ETHU24,XBT,RemovedLiquidity,6,6,0,0,0,6,0,0,0,6,-2.83000
ETHUSD,XBT,AddedLiquidity,8523,632,7891,0,0,632,7891,0,283,8240,3473.82000000064859909280
ETHUSD,XBT,RemovedLiquidity,9373,9365,8,0,0,9365,8,0,448,8925,-4469.618175
ETHUSDZ20,XBT,AddedLiquidity,5,0,5,0,0,0,5,0,0,5,1.92900000000095190480
ETHUSDZ20,XBT,RemovedLiquidity,3,3,0,0,0,3,0,0,0,3,-1.788000
ETHZ20,XBT,AddedLiquidity,859,0,859,0,0,0,859,0,547,312,156.50000
ETHZ20,XBT,RemovedLiquidity,308,308,0,0,0,308,0,0,175,133,-64.50000
ETHZ21,XBT,AddedLiquidity,710,0,710,0,0,0,710,0,120,590,293.6650
ETHZ21,XBT,RemovedLiquidity,159,159,0,0,0,159,0,0,29,130,-64.7400
ETHZ22,XBT,AddedLiquidity,161,0,161,0,0,0,161,0,11,150,83.7860
ETHZ22,XBT,RemovedLiquidity,21,19,2,0,0,19,2,0,2,19,-7.89750
ETHZ23,XBT,AddedLiquidity,196,196,0,0,0,196,0,0,12,184,-103.7180
ETHZ23,XBT,RemovedLiquidity,74,74,0,0,0,74,0,0,3,71,-34.86500
ETHZ24,XBT,AddedLiquidity,70,70,0,0,0,70,0,0,7,63,-32.48700
ETHZ24,XBT,RemovedLiquidity,9,9,0,0,0,9,0,0,2,7,-3.90450
LINKUSDT,XBT,AddedLiquidity,196,0,196,0,0,0,196,0,50,146,78.14625
LINKUSDT,XBT,RemovedLiquidity,36,35,1,0,0,35,1,0,3,33,-16.78000
LINKUSDTZ20,XBT,AddedLiquidity,3,0,3,0,0,0,3,0,0,3,1.69337500000103552830
LINKUSDTZ20,XBT,RemovedLiquidity,13,13,0,0,0,13,0,0,4,9,-4.977375
LTCH21,XBT,AddedLiquidity,1221,0,1221,0,0,0,1221,0,517,704,299.00000
LTCH21,XBT,RemovedLiquidity,193,193,0,0,0,193,0,0,56,137,-65.50000
LTCM20,XBT,AddedLiquidity,244,0,244,0,0,0,244,0,0,244,110.30000000018913176000
LTCM20,XBT,RemovedLiquidity,143,143,0,0,0,143,0,0,0,143,-45.7500000010576653000
LTCM21,XBT,AddedLiquidity,158,0,158,0,0,0,158,0,22,136,70.87500
LTCM21,XBT,RemovedLiquidity,14,13,1,0,0,13,1,0,2,12,-4.25000
LTCU20,XBT,AddedLiquidity,159,0,159,0,0,0,159,0,0,159,64.50000000019868600000
LTCU20,XBT,RemovedLiquidity,157,157,0,0,0,157,0,0,0,157,-59.6250000017852527500
LTCU21,XBT,AddedLiquidity,394,0,394,0,0,0,394,0,16,378,216.14000
LTCU21,XBT,RemovedLiquidity,23,23,0,0,0,23,0,0,5,18,-9.70000
LTCUSD,XBT,AddedLiquidity,4688,650,4038,0,0,650,4038,0,275,4413,1575.12970000009947959088
LTCUSD,XBT,RemovedLiquidity,1907,1903,4,0,0,1903,4,0,99,1808,-905.76792499999999976400
LTCZ20,XBT,AddedLiquidity,617,0,617,0,0,0,617,0,221,396,165.25000000003165380000
LTCZ20,XBT,RemovedLiquidity,198,196,2,0,0,196,2,0,80,118,-43.55000000033541671000
LTCZ21,XBT,AddedLiquidity,105,0,105,0,0,0,105,0,24,81,37.7780
LTCZ21,XBT,RemovedLiquidity,17,17,0,0,0,17,0,0,4,13,-6.8450
LUNAUSD,XBT,AddedLiquidity,296,0,296,0,0,0,296,0,17,279,148.8003
LUNAUSD,XBT,RemovedLiquidity,62,62,0,0,0,62,0,0,2,60,-31.6440
ORDIUSD,XBT,AddedLiquidity,9,9,0,0,0,9,0,0,1,8,-4.5122
TRXH21,XBT,AddedLiquidity,2080,0,2044,36,0,0,2080,0,78,2002,1020.39450
TRXH21,XBT,RemovedLiquidity,138,135,1,2,0,136,2,0,32,106,-49.42600
TRXM20,XBT,AddedLiquidity,102,0,99,3,0,0,102,0,0,102,33.00000000004958800000
TRXM20,XBT,RemovedLiquidity,35,35,0,0,0,35,0,0,0,35,-11.0000000001840200000
TRXM21,XBT,AddedLiquidity,1366,0,1366,0,0,0,1366,0,82,1284,660.22275
