window,period,strategy,status,note,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,payoff_ratio,profit_factor,turnover,average_exposure,maximum_exposure,fees,funding,slippage,longest_drawdown_recovery_days,return_concentration_top5,executed_events,signal_events
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,distilled_rules,PASS,Unitless exposure-return proxy; next-bar open execution.,0.01819180155289213,0.018204374423667957,0.07663533001179094,0.27369394573959793,0.40268519163119504,-0.0671610278118453,0.2710556258112718,0.4558461201853103,0.9991104139019749,1.0034871499427527,71.56483999999998,0.14262246753742877,0.25,0.03680547823438314,0.0010058443066958919,0.0,287.16319444444446,0.008500062337758525,855,2082
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,frequency_baseline,PASS,Unitless exposure-return proxy; next-bar open execution.,-3.500875887307853e-05,-3.503273705507404e-05,0.0009515906258807678,-0.03633941355498904,-0.04810739200303437,-0.0009698715001154046,-0.03612100886654109,0.4846700468983362,1.0029896215847045,0.9995172364378029,0.9690500000000043,0.0016959169908963866,0.00305,0.0004983780957664286,6.877274439513871e-05,0.0,336.03125,0.0056457037442573564,596,2082
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,logistic_numpy,PASS,Unitless exposure-return proxy; next-bar open execution.,0.27581442502428954,0.2760272982091294,0.11420587424801905,2.1914567552549147,3.070768203270821,-0.06384528162300684,4.323378191657348,0.4857640243148372,1.0229629641640898,1.0240860414459514,0.25,0.24931507500879938,0.25,0.00012857388570414963,0.012104658758030662,0.0,102.01736111111111,0.005124080799034048,1,2082
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,decision_tree_numpy,PASS,Unitless exposure-return proxy; next-bar open execution.,-0.0011792462494725209,-0.001180053475629328,0.034699720822177996,-0.016684003855877642,-0.02426577922643526,-0.037046986063841825,-0.03185288740076673,0.48517422779463665,1.001183473886505,0.9997329378800128,23.316909999999982,0.05058449710329663,0.17211,0.01199178288525575,-0.0005264317335155521,0.0,296.9513888888889,0.009267861285890548,590,2082
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,btc_buy_hold,PASS,Unitless exposure-return proxy; next-bar open execution.,0.277342063956026,0.2775562391609998,0.11421237107076532,2.201823255884303,3.085318079065255,-0.06384528162301095,4.347325786733842,0.48684848888423815,1.022687835324327,1.024188756750649,0.25,0.25,0.25,0.00012857388570414963,0.01210961593474336,0.0,102.01736111111111,0.005120899766911824,1,1
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,sma_trend,PASS,Unitless exposure-return proxy; next-bar open execution.,-1.8980708149946564,,4.52744463940557,-0.7420352227416392,-0.7923750492137231,-1.898707914889422,,0.4675564349654208,0.9229512575093245,0.8508976272993566,3598.25,0.249997621788225,0.25,1.8505639369401012,0.00023811083518042415,0.0,364.96875,0.14263733041706983,7197,105121
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,volatility_filtered_trend,PASS,Unitless exposure-return proxy; next-bar open execution.,-1.5278639769571902,,4.626977704255224,0.5963202478490515,1.7500444926559389,-1.521466442121905,,0.25739861683203163,1.4009031489148611,1.1658251031352127,2904.25,0.1292415407007163,0.25,1.4936428302254534,-0.00024102175391633565,0.0,351.56597222222223,0.30978004544522325,11554,105121
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,teacher_historical_trajectory,PASS,Teacher trajectory is descriptive only.,0.01595793060093187,0.01596894750068656,0.013297189344921195,1.1980738305238052,1.805678198282531,-0.007877106739690332,2.027260519427002,0.3769085149494392,1.0242368572039986,1.0232812678218677,6.166449999999985,0.01576146925923261,0.13176000000000002,0.0031713777500014056,0.0003800815896554931,0.0,267.12847222222223,0.014463275027750569,1249,2082
WF1_2020_2022_train_2023_val_2024_test,VALIDATION,same_turnover_random,PASS,Unitless exposure-return proxy; next-bar open execution.,-0.1500233309561556,-0.15011795625639157,0.09343150940617466,-1.6941207116955108,-2.305491801974145,-0.21955687228809861,-0.6837315302042082,0.3158740879557843,0.9915895290739308,0.9771116215953906,294.0,0.1627767049400215,0.25,0.15120288958808054,-0.00268956035863307,0.0,292.4548611111111,0.006899696857217555,898,2082
WF1_2020_2022_train_2023_val_2024_test,TEST,distilled_rules,PASS,Unitless exposure-return proxy; next-bar open execution.,0.02464081817970909,0.024589708921865183,0.09700028111546906,0.2989234726909333,0.43014522303228137,-0.094496837014997,0.26021726968451553,0.4665825498771452,1.0166412100596973,1.003420589868674,82.14709000000005,0.14272767932530311,0.25,0.04224788224235398,0.0047011016803945324,0.0,181.20486111111111,0.004750691657018737,1034,2257
