chain_status,symbol,group_count,trade_count,sample_orderID,sample_raw_cumQty_order,sample_recovered_execID_order
UNIQUE_CUMQTY_CHAIN,ETHM21,11,36,5af12515-1444-4259-b7fa-a2c3eb6e1f6f,"6,5","ea1b6360-8ed6-adc6-0ae8-54030d7a870d,cbf1407e-f532-e1cf-f92c-801acf31c453"
UNIQUE_CUMQTY_CHAIN,ETHM22,12,31,7e045b66-9204-4dcc-8449-e2526e5f8c85,"24000,20000","f2d698e4-ee60-16b3-6999-f9546fc1274f,d2f6ee96-c0c2-44f4-ca9f-07c59d60a949"
UNIQUE_CUMQTY_CHAIN,ETHM23,9,24,ebb6650a-3fe0-4879-86a3-46d4915bfc8b,"53000,21000,224000,124000,75000","30d1eb1c-40c2-ab31-746d-739f9a212f32,30ba395f-3a58-b03a-43a1-e7472bcfda8e,baabf95f-06bf-b6bd-0a85-c9659783753a,ba8d6803-444a-a206-2df4-5eda75b04b74,a065f15d-77b2-7359-196b-2995d47e4670"
UNIQUE_CUMQTY_CHAIN,ETHM24,15,42,53f1f02d-0c29-4095-a82c-1958347b1455,"84000,100000","00000000-006d-1000-0000-00066417e69e,00000000-006d-1000-0000-00066417e6a1"
UNIQUE_CUMQTY_CHAIN,ETHU20,26,121,3cc2b8cf-d021-4704-59a6-4c26195b9677,"26,35,1,30,19","48027080-4d9f-6a34-b0d6-ee67c0622f9e,f796e78b-4fd2-faaa-267c-750fa3697087,09b7a895-d3c5-4e2e-35b6-6a32e5a49967,9b5731aa-baef-8998-2fde-3200878a8e8a,36715ab4-ec4a-12e7-d810-1e4c1468a79a"
UNIQUE_CUMQTY_CHAIN,ETHU21,11,26,454ab3a0-fd63-40a9-a9da-a44dc0e2ac4d,"5,2","d8085e8d-b7ee-f262-9da5-0105a0f03ad5,7c1f9c17-d700-44e7-d615-35281b5732d0"
UNIQUE_CUMQTY_CHAIN,ETHU22,7,20,4714e94c-352e-419c-8404-6fa5c151632e,"24000,100000","5d2fa05a-2b5e-942c-723c-d3bb7d29b0d2,aa3523d4-854c-3429-4d56-ff9d141bd554"
UNIQUE_CUMQTY_CHAIN,ETHU23,10,26,64e113ef-d92f-46b3-a648-e539e38555b1,"240000,163000,70000,16000","986b75ef-ef57-d588-3df2-717636798971,68e701e4-cae1-7454-ae0a-326464282668,2ffa1b50-c713-d345-e7dc-bb809e371624,0cd2a475-06fb-9f94-904f-93a7f28121bf"
UNIQUE_CUMQTY_CHAIN,ETHUSD,1250,9132,543ce215-ddfa-db79-a1e3-2b37366d6015,"45,4972,5008,34,21","e555e95f-f89e-bbd4-1795-cda6d90c1532,c382b5b8-7732-7dae-1a73-7649fc21d4e3,5da664db-6574-88bc-412b-8a4f486af4a9,61f2f221-8061-216c-92ba-affc6754c550,6ebd577f-8e5d-3f58-6744-ace9e2a353c9"
UNIQUE_CUMQTY_CHAIN,ETHUSDZ20,1,3,f290e631-d3b9-4dee-aa47-9cabcf565610,"327,1111,302","efcb79c3-4356-4f9b-f37e-ab91a135bf46,2eeb83c6-1a21-a343-b8b4-d6dd97d2ed82,d24a5880-7707-f36d-bdf3-11111cdbffcd"
UNIQUE_CUMQTY_CHAIN,ETHZ20,64,263,7772d069-21f9-4ff9-baad-76df46fdd5a0,"5,13,11","378189a2-0d76-d339-8d95-3bc37c6ad163,d357daee-2f41-b8cf-cf50-343997ec812b,614f2e88-4b95-68d3-3d3f-7982119ae20a"
UNIQUE_CUMQTY_CHAIN,ETHZ21,31,87,d3f7404e-f47b-4bf0-9ccf-2bdd73b73cd8,"240000000,688000000","1d436fb9-0af9-f6b8-8ea1-80a5c694d649,3fce2206-8cd6-99cd-658c-36677db82029"
UNIQUE_CUMQTY_CHAIN,ETHZ22,4,9,8f423c7d-5588-4a3e-896e-3b5cc99785e2,"393000,416000","427f7cf6-e400-bce3-34c2-26b37ee80d5b,b650640d-bb3c-61f1-9b32-56981e436f63"
UNIQUE_CUMQTY_CHAIN,ETHZ23,16,52,bc5cf43c-67f0-4880-8b8b-184d7091fd72,"10000,20000","00000000-006d-1000-0000-000011c7b0f2,00000000-006d-1000-0000-000011c7b0f5"
UNIQUE_CUMQTY_CHAIN,ETHZ24,2,5,33a4cad4-629b-452f-b4f5-93a8aa8f3cae,"42000,151000,221000","00000000-006d-1000-0000-000ca39ad840,00000000-006d-1000-0000-000ca39ad843,00000000-006d-1000-0000-000ca39ad846"
UNIQUE_CUMQTY_CHAIN,LINKUSDT,4,26,2b07c9f0-6691-4553-ae30-4212ec774931,"1050,1046,1111,996","996629bb-f016-f6dd-2ee7-79d3acd8d649,3efd1120-e252-a0e0-2ef8-b63323395c14,1ab1e836-d183-a410-f487-3d32745868f4,9781feda-7be1-0c3c-073c-75dc1eeadc5d"
UNIQUE_CUMQTY_CHAIN,LINKUSDTZ20,1,11,c6c5ee6d-e20a-d668-f268-c99d9dfa9402,"31,45,321,190,28,179,7,145,156,3,27","e38c8034-7f2c-670f-62c8-dd5ed8765541,896a60d1-74e1-3a05-8249-e63a8cc2498b,f0272a52-6f50-cca1-a887-054b976a52f0,72bef3db-e6cc-3b6e-2e20-46e2a7dae46c,06072869-ee11-d5de-4eb0-ae704c711195,2c6089f3-de34-4747-ca53-80b5a579b599,93389f41-5901-ecb0-5ad1-d0757e081db6,e0545a44-55c8-a50f-dfef-3c61b5266faa,72d8608e-41da-84c5-c235-74939214ff29,6468c5fc-e6fc-7d94-8b08-dbc5e6f296aa,38ce22c7-3604-2c2d-844d-61b7685244e0"
UNIQUE_CUMQTY_CHAIN,LTCH21,45,184,93b60872-3010-4d03-8c20-34ce781b2eeb,"96,111","cc26ec55-adf3-a476-b77e-bc191de60991,ddf9359b-43c2-8dca-904b-62bb5b32746d"
UNIQUE_CUMQTY_CHAIN,LTCM20,13,141,09958a93-dc0e-3488-aff5-8e70c4a41357,"54,40,62,39,63","e8b9b04b-78b6-2a5b-8f08-ec2ecef83932,b916d9c3-26f4-5580-1db6-57e11e1a13a5,658fe8e3-bc74-4657-220a-46acb096f139,c83907b5-e3e7-8e50-ce98-5c5010542de3,f8cec9aa-9694-979c-b8ab-468a4f220b6f"
UNIQUE_CUMQTY_CHAIN,LTCM21,4,13,51b24e3b-4074-4fe4-a32f-4ba91b51e266,"64,14,72,76,92,80","2d256b01-da05-cf0e-567a-b4837bc02e4d,09ea29d2-adcd-5a6e-57d4-7759ad5d0fe0,62ce9e88-5a64-3267-cf30-93c040f681e6,67818a87-d2dd-a1b9-2ae1-7eff0c166413,986924c4-8e95-b4bd-60ad-787d13973b61,8e97fa57-de59-63ec-00f3-3bd6ae088b93"
UNIQUE_CUMQTY_CHAIN,LTCU20,27,151,5b38d379-eba1-fcc4-eaea-14d098915207,"289,266,299,126,174,68,409,308,92,232,175","79df64fb-4818-b18c-e183-68d2fbc2051c,a8b4bec4-0d9a-bca1-aee3-1785afe4abe1,388f360a-4f50-730f-06da-ee0beedb55cd,410a970e-b836-c35f-516c-36ff570e2a43,f06231bc-f08e-fce5-2c66-847e021de0a5,b0b83e50-f7de-0027-e969-442c0d0ce47d,276f7cfb-7f69-df2c-37d0-54652938c4e8,00fc8cf1-6ccf-b955-f69e-23c1d829b617,294f9986-4efe-2152-1de2-768be8dcbac1,9ab6f563-cc68-c53c-e7b9-30f5f85ef7b2,8fb09ee1-c560-c2ce-0e4c-d76cf4b2d108"
UNIQUE_CUMQTY_CHAIN,LTCU21,6,22,d64bdff4-b2d0-4889-9bca-5e8cebe5719f,"70,100,20","ef12a20e-4568-ce5a-c378-bf26932b9087,1bf1ebaf-67c6-dba3-686c-0fc8fe8695da,26c1f7e7-f3e4-9c8f-fc32-d629a215c9d9"
UNIQUE_CUMQTY_CHAIN,LTCUSD,388,1760,da6839b9-a68a-2d74-acd4-f15ed4a362c2,"3087,2187,3987","49cfa28b-6fc0-f7cd-9eb5-13b93a2afa0c,0240f15a-3998-2be4-6439-eff80f71bc0a,737e89b3-fd14-3fb9-cbdf-1dd033776414"
UNIQUE_CUMQTY_CHAIN,LTCZ20,38,187,6cc4d3a1-6495-405d-89c3-7b92b445bad4,"5,40,10,100,140,2","f7e58ed5-a588-30b4-b910-276058f5a4c5,17c08186-9294-662a-628e-b60f6e7391e9,7b4d5565-24f8-9ee3-8778-f77457d8b569,4a86386d-8b6e-9987-52b2-5debfc43a225,ba573714-cc58-ca4f-d89f-4165e31bab44,d7f44193-d854-651c-bfd6-7ec8fd6cb22b"
UNIQUE_CUMQTY_CHAIN,LTCZ21,3,13,61800cd0-e749-47e3-aad2-d5cd463ba184,"8290000000,200000000,12290000000","9a1b8444-d8e7-cdb5-148b-bb07ed2d41c2,434e0541-8dd3-a1e8-8ebf-b61e7aeae07b,bcd633e0-26c3-cbea-da9a-bbfbb93525f4"
