symbol,decision_row_count,order_row_count,synthetic_row_count,first_decision_time_utc,last_decision_time_utc,instrument_class,payout_model,quote_currency,settlement_currency,multiplier_major,resolved_lot_size,terms_resolution_status,train_position_scale_contracts,market_coverage_status,market_bar_count,market_grid_gap_count
ETHM23,152,152,0,2023-03-23T15:38:09.675000Z,2023-06-28T19:30:21.150000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2429,0
ETHM24,86,86,0,2024-04-04T20:10:55.922000Z,2024-06-26T19:21:25.516000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2088,0
ETHU20,32,32,0,2020-07-06T21:23:16.149000Z,2020-08-20T19:34:39.661000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,332.0,PASS,1175,0
ETHU21,54,54,0,2021-06-24T16:01:32.517000Z,2021-08-02T14:26:01.408000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,408.0,PASS,1031,0
ETHU22,25,25,0,2022-06-24T19:44:49.420000Z,2022-09-17T08:34:43.983000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2126,0
ETHU23,65,65,0,2023-08-04T01:20:15.739000Z,2023-09-29T07:54:29.429000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,1447,0
ETHU24,43,43,0,2024-06-20T07:23:01.167000Z,2024-09-08T04:55:24.477000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2014,0
ETHUSD,3536,3536,0,2020-06-01T22:24:28.491000Z,2024-02-26T19:44:55.050000Z,DERIVATIVE,QUANTO,USD,XBT,0.000001,1,SNAPSHOT_FALLBACK,102665.0,PASS,32854,0
ETHUSDZ20,2,2,0,2020-10-12T13:39:21.644000Z,2020-10-12T16:32:24.038000Z,DERIVATIVE,QUANTO,USD,XBT,0.000001,1,SNAPSHOT_FALLBACK,1111.0,PASS,100,0
ETHZ20,207,207,0,2020-10-28T11:17:12.414000Z,2020-12-24T21:29:28.485000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,1046.0,PASS,1475,0
ETHZ21,307,307,0,2021-10-05T21:55:06.009000Z,2021-12-27T14:40:48.062000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00000001,1000000,SNAPSHOT_FALLBACK,40711000000.0,PASS,2082,0
ETHZ22,53,53,0,2022-10-22T22:00:42.461000Z,2022-12-21T16:19:51.536000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,1531,0
ETHZ23,72,72,0,2023-09-29T20:51:15.892000Z,2023-12-20T18:35:09.221000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,2063,0
ETHZ24,26,26,0,2024-10-14T15:26:28.211000Z,2024-12-20T10:14:54.859000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00001,1000,SNAPSHOT_FALLBACK,1.0,PASS,1700,0
LINKUSDT,35,35,0,2021-02-02T07:30:06.999000Z,2021-09-22T09:13:54.442000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,100,SNAPSHOT_FALLBACK,2333.0,PASS,5667,0
LINKUSDTZ20,6,6,0,2020-09-13T00:07:48.984000Z,2020-09-24T15:38:46.277000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,1,SNAPSHOT_FALLBACK,321.0,PASS,320,0
LTCH21,140,140,0,2020-12-25T18:30:08.190000Z,2021-03-20T23:21:36.995000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,2785.0,PASS,2142,0
LTCM20,18,18,0,2020-05-01T23:45:58.220000Z,2020-06-08T22:11:45.084000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,3719.0,PASS,1008,0
LTCM21,10,10,0,2021-03-29T02:41:02.762000Z,2021-04-24T04:42:07.116000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,700.0,PASS,723,0
LTCU20,86,86,0,2020-06-26T12:29:11.610000Z,2020-09-04T06:40:57.323000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,2090.0,PASS,1771,0
LTCU21,18,18,0,2021-08-10T06:48:12.576000Z,2021-09-24T11:06:35.182000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,1000.0,PASS,1182,0
LTCUSD,1353,1353,0,2020-08-01T10:10:23.992000Z,2023-12-06T16:47:47.204000Z,DERIVATIVE,QUANTO,USD,XBT,0.000002,1,SNAPSHOT_FALLBACK,106109.0,PASS,29389,0
LTCZ20,100,100,0,2020-10-01T14:22:13.848000Z,2020-12-25T07:40:37.383000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,1647.0,PASS,2130,0
LTCZ21,15,15,0,2021-12-06T22:19:25.621000Z,2021-12-13T19:14:17.448000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00000001,10000000,SNAPSHOT_FALLBACK,299900000000.0,PASS,262,0
LUNAUSD,75,75,0,2021-10-20T09:55:35.965000Z,2022-01-22T07:31:04.170000Z,DERIVATIVE,QUANTO,USD,XBT,0.00001,1,SNAPSHOT_FALLBACK,3000.0,PASS,2351,0
ORDIUSD,9,9,0,2023-06-09T01:29:30.612000Z,2023-07-14T09:37:00.947000Z,DERIVATIVE,QUANTO,USD,XBT,0.00001,1,SNAPSHOT_FALLBACK,1.0,PASS,945,0
TRXH21,151,151,0,2020-12-27T16:00:37.274000Z,2021-03-20T23:20:45.051000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,5750000.0,PASS,2096,0
TRXM20,37,37,0,2020-05-22T21:43:52.981000Z,2020-06-14T11:15:54.307000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,4000000.0,PASS,639,0
TRXM21,177,177,0,2021-03-19T17:56:44.382000Z,2021-05-20T20:47:47.701000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,5300000.0,PASS,1588,0
TRXU20,113,113,0,2020-06-30T10:17:05.892000Z,2020-09-23T18:49:35.589000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,7300000.0,PASS,2145,0
TRXU21,45,45,0,2021-06-29T04:16:50.250000Z,2021-09-24T05:55:20.009000Z,DERIVATIVE,LINEAR,XBT,XBT,1,100,SNAPSHOT_FALLBACK,2510500.0,PASS,2186,0
