window,split,model,train_rows,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
WF1,VALIDATION,frequency_baseline,9059,877,877,0.508551881413911,0.8928164196123147,0.12999711840771444,0.3540589402970187,0.20976421753053626,0.4268090551780422,1078287.1991090907,25097.08429059829,1.0,0.0,0.0,0.9479418886198547,0.04775682716701335
WF1,VALIDATION,distilled_rules,9059,877,877,0.26795895096921324,0.7639680729760547,0.17228861453783031,0.31942332175658167,0.11153384609964884,0.8692109515925284,654402.4021818183,14036.568780626789,0.26371308016877637,0.29292929292929293,0.0,0.7905569007263923,0.4642648249095218
WF1,VALIDATION,cross_asset_logistic,9059,877,877,0.5746864310148233,0.8779931584948689,0.16616784226439726,0.5139130555399484,0.07270708659577735,0.9541418331706691,1078287.1991090907,14702.15872364673,0.7784810126582279,0.632996632996633,0.0,0.9322033898305084,0.07055672346174435
WF1,TEST,frequency_baseline,9059,487,485,0.4556701030927835,0.8762886597938144,0.12370711466450764,0.3131018918949937,0.10241841306990022,0.6328714324702123,1424775.908423077,66877.76405581398,1.0,0.0,0.0,0.9219088937093276,0.1990105405402995
WF1,TEST,distilled_rules,9059,487,485,0.2556701030927835,0.7752577319587629,0.12177808817172667,0.3025967835886395,0.06103484935298281,0.8339015845946447,823660.4411538461,44410.73880000002,0.2620967741935484,0.2712765957446808,0.0,0.8026030368763557,0.40741976744942243
WF1,TEST,cross_asset_logistic,9059,487,485,0.4144329896907217,0.8886597938144329,0.1061466703611342,0.30271124403576777,0.033448633599383534,0.9321730614659333,1424775.908423077,40237.41486511629,0.6451612903225806,0.6436170212765957,0.0,0.9349240780911063,0.1277529863444814
WF2,VALIDATION,frequency_baseline,9936,487,485,0.4556701030927835,0.8762886597938144,0.12370711466450764,0.3131018918949937,0.10241841306990022,0.6328714324702123,1424775.908423077,66877.76405581398,1.0,0.0,0.0,0.9219088937093276,0.1990105405402995
WF2,VALIDATION,distilled_rules,9936,487,485,0.2556701030927835,0.7752577319587629,0.12177808817172667,0.3025967835886395,0.06103484935298281,0.8339015845946447,823660.4411538461,44410.73880000002,0.2620967741935484,0.2712765957446808,0.0,0.8026030368763557,0.40741976744942243
WF2,VALIDATION,cross_asset_logistic,9936,487,485,0.4144329896907217,0.8886597938144329,0.1061466703611342,0.30271124403576777,0.033448633599383534,0.9321730614659333,1424775.908423077,40237.41486511629,0.6451612903225806,0.6436170212765957,0.0,0.9349240780911063,0.1277529863444814
WF2,TEST,frequency_baseline,9936,177,176,0.3465909090909091,0.7784090909090909,0.08947963800904976,0.19887906211435621,0.11301427312778424,0.4949447775980013,953012.2562857146,118015.43144047621,1.0,0.0,,0.8154761904761905,0.2866333564675675
WF2,TEST,distilled_rules,9936,177,176,0.2159090909090909,0.625,0.08661996336996336,0.24662093115218112,0.06575438732733908,0.5904918284884533,892552.108857143,72905.99504761906,0.17647058823529413,0.27631578947368424,,0.6488095238095238,0.4513702599912133
WF2,TEST,cross_asset_logistic,9936,177,176,0.5,0.8522727272727273,0.1580100470265013,0.4195571314107678,0.028988146996388308,0.9090152659783589,953012.2562857146,85222.28983333336,0.9176470588235294,0.5131578947368421,,0.8928571428571429,0.11543776439840572
WF3,VALIDATION,frequency_baseline,10423,142,141,0.3404255319148936,0.7375886524822695,0.08858381502890172,0.19845037510761282,0.10952579047373903,0.6551904710395455,1107859.0232000002,109972.21435937504,1.0,0.0,,0.7703703703703704,0.2978352828181374
WF3,VALIDATION,distilled_rules,10423,142,141,0.22695035460992907,0.6312056737588653,0.08831837505904581,0.24892511482527463,0.061650149443423945,0.42206371038584695,1023214.8168000001,64807.097625,0.20833333333333334,0.27586206896551724,,0.6592592592592592,0.4522493817521842
WF3,VALIDATION,cross_asset_logistic,10423,142,141,0.45390070921985815,0.8297872340425532,0.14769066819948667,0.364978582860775,0.026031506855411057,0.8908156905727194,1107859.0232000002,88242.804359375,0.9166666666666666,0.46551724137931033,,0.8666666666666667,0.1702624995800774
WF3,TEST,frequency_baseline,10423,64,64,0.453125,0.953125,0.15591397849462366,0.2825940860215054,0.10143525692969893,0.1756653230329179,565895.339,140919.1655151515,1.0,0.0,,1.0,0.24234619096695617
WF3,TEST,distilled_rules,10423,64,64,0.21875,0.765625,0.11194444444444444,0.2579427083333333,0.08534389105559073,0.5712412790945489,565895.339,61417.94884848486,0.20689655172413793,0.23333333333333334,,0.7868852459016393,0.4205323072300348
WF3,TEST,cross_asset_logistic,10423,64,64,0.609375,0.953125,0.31578249336870023,0.5829326923076923,0.033710432616184886,0.9268679613911052,565895.339,96020.39781818182,0.5862068965517241,0.7333333333333333,,1.0,0.041397870929647786
