window,model,track,venue,cost_profile,test_rows,status,active_symbols,net_return,gross_profit,gross_loss,profit_factor,fees,funding,slippage,turnover,executed_adjustments,signal_count,funding_events_observed,funding_events_missing
WF1,v46,STRICT_AUTONOMOUS,BITMEX,BASE,2462,PASS,3,-1.413311362454568,23.13923161898687,21.829834825458406,1.059981983555891,0.0077656387335430215,0.1817714086540677,4.515677691595272,15.531277467086042,273,2458,1098,16467
WF1,v46,STRICT_AUTONOMOUS,HYPERLIQUID,BASE,0,NO_TEST_DATA,0,,,,,,,,,0,,,
WF1,v46,STRICT_AUTONOMOUS,BITMEX,STRESS,2462,PASS,3,-2.700060046359086,20.97516263753644,39.589697033233925,0.5298136689434286,0.01164845810031453,0.40420351968885415,9.031355383190544,15.531277467086042,273,2458,1098,16467
WF1,v46,STRICT_AUTONOMOUS,HYPERLIQUID,STRESS,0,NO_TEST_DATA,0,,,,,,,,,0,,,
WF2,v46,STRICT_AUTONOMOUS,BITMEX,BASE,1653,PASS,1,-0.03122636982059579,6.8356831285897215,6.842072212017887,0.9990662063728379,0.0008944158561161484,0.0,1.871857577692993e-06,1.788831712232297,34,1653,0,8760
WF2,v46,STRICT_AUTONOMOUS,HYPERLIQUID,BASE,0,NO_TEST_DATA,0,,,,,,,,,0,,,
WF2,v46,STRICT_AUTONOMOUS,BITMEX,STRESS,1653,PASS,1,-0.031663319453186456,6.83547652038471,6.842316528232384,0.9990003374121248,0.0013416237841742229,0.0,3.743715155385986e-06,1.788831712232297,34,1653,0,8760
WF2,v46,STRICT_AUTONOMOUS,HYPERLIQUID,STRESS,0,NO_TEST_DATA,0,,,,,,,,,0,,,
WF3,v46,STRICT_AUTONOMOUS,BITMEX,BASE,263,PASS,1,0.1269689914491432,2.011649936035954,1.8880486649496033,1.0654650875165073,0.0036613475300681982,0.0,9.361262838080484e-06,7.322695060136402,139,263,0,4774
WF3,v46,STRICT_AUTONOMOUS,HYPERLIQUID,BASE,0,NO_TEST_DATA,0,,,,,,,,,0,,,
WF3,v46,STRICT_AUTONOMOUS,BITMEX,STRESS,263,PASS,1,0.12501983604906952,2.0107786427247376,1.888908505082107,1.0645188146036397,0.0054920212951022965,0.0,1.8722525676160968e-05,7.322695060136402,139,263,0,4774
WF3,v46,STRICT_AUTONOMOUS,HYPERLIQUID,STRESS,0,NO_TEST_DATA,0,,,,,,,,,0,,,
